,Rank1,Rank2,Rank3,Rank4,Rank5,Decision,abs
SHY,0.0,0.09215,0.8102,0.09765,0.0,0.08986,0.08986
VXX,0.4024,0.0695,0.0587,0.07105,0.39835,0.05684,0.05684
IEFM.L,0.2111,0.1952,0.17715,0.20015,0.2164,0.05458,0.05458
IAU,0.13995,0.24025,0.23965,0.24305,0.1371,0.03976,0.03976
IEF,0.0129,0.2492,0.47435,0.25115,0.0124,0.03572,0.03572
IEVL.L,0.21095,0.1962,0.1757,0.2018,0.21535,0.03328,0.03328
KR,0.24185,0.17885,0.15425,0.1809,0.24415,0.0295,0.0295
GSG,0.32525,0.1221,0.1016,0.1232,0.32785,0.02926,0.02926
AMZN,0.23085,0.18515,0.16525,0.1888,0.22995,0.02417,0.02417
SEGA.L,0.2141,0.19585,0.1731,0.19545,0.2215,0.02362,0.02362
