,Rank1,Rank2,Rank3,Rank4,Rank5,Decision,abs
SHY,0.0111,0.2401,0.4984,0.2396,0.0108,0.0249,0.0249
IEF,0.0597,0.2643,0.3519,0.265,0.0591,0.0135,0.0135
HYG,0.0591,0.264,0.3524,0.2651,0.0594,0.0124,0.0124
IAU,0.1277,0.2422,0.2606,0.2417,0.1278,0.0122,0.0122
XLP,0.0991,0.253,0.2939,0.2546,0.0994,0.0115,0.0115
XLV,0.1095,0.2499,0.2814,0.2495,0.1097,0.011,0.011
IVV,0.1296,0.2412,0.2581,0.2417,0.1294,0.0109,0.0109
PPL,0.1346,0.2401,0.253,0.2378,0.1345,0.0108,0.0108
XLU,0.123,0.2449,0.2658,0.2442,0.1221,0.0107,0.0107
LQD,0.0765,0.2612,0.3236,0.2622,0.0765,0.0107,0.0107
