,Rank1,Rank2,Rank3,Rank4,Rank5,Decision,abs
EWC,0.1746,0.2179,0.2168,0.217,0.1737,0.0373,0.0373
LQD,0.0676,0.2626,0.3377,0.2628,0.0693,0.0373,0.0373
SHY,0.0075,0.2298,0.5218,0.2329,0.008,0.0373,0.0373
HYG,0.0902,0.2561,0.3058,0.2572,0.0907,0.0278,0.0278
IEF,0.0569,0.2634,0.3564,0.2652,0.0581,0.0278,0.0278
SEGA.L,0.203,0.1999,0.1916,0.2009,0.2046,0.0278,0.0278
HIGH.L,0.2036,0.1994,0.1907,0.2008,0.2055,0.0261,0.0261
IAU,0.0932,0.2556,0.3015,0.2559,0.0938,0.0261,0.0261
GSG,0.2429,0.1756,0.1625,0.1768,0.2422,0.0261,0.0261
VXX,0.338,0.112,0.0977,0.1125,0.3398,0.0248,0.0248
