,Rank1,Rank2,Rank3,Rank4,Rank5,Decision,abs
SHY,0.0318,0.2603,0.4177,0.2587,0.0315,0.2156,0.2156
IEF,0.0805,0.2594,0.322,0.2581,0.08,0.0688,0.0688
IAU,0.1378,0.2349,0.2529,0.2365,0.1379,0.0604,0.0604
HYG,0.081,0.2593,0.3214,0.2587,0.0796,0.0576,0.0576
ABBV,0.181,0.2132,0.2119,0.2129,0.181,0.0297,0.0297
XLP,0.1142,0.2466,0.2781,0.2459,0.1152,0.0293,0.0293
XLV,0.1231,0.2429,0.2681,0.2437,0.1222,0.0243,0.0243
SEGA.L,0.2061,0.1983,0.1917,0.1981,0.2058,0.0228,0.0228
PPL,0.1441,0.2328,0.2454,0.2331,0.1446,0.0222,0.0222
EWU,0.1565,0.2258,0.2342,0.2272,0.1563,0.0215,0.0215
