,0,1,2,3,4
ABBV,0.25,0.17,0.195,0.19,0.195
ACN,0.255,0.155,0.175,0.22,0.195
AEP,0.15,0.25,0.22,0.23,0.15
AIZ,0.2,0.22,0.175,0.18,0.225
ALLE,0.255,0.215,0.1,0.22,0.21
AMAT,0.3,0.17,0.095,0.145,0.29
AMP,0.22,0.16,0.2,0.155,0.265
AMZN,0.22,0.17,0.145,0.155,0.31
AVB,0.175,0.23,0.175,0.215,0.205
AVY,0.24,0.215,0.135,0.165,0.245
AXP,0.27,0.155,0.13,0.165,0.28
BDX,0.22,0.19,0.18,0.17,0.24
BF-B,0.19,0.19,0.195,0.195,0.23
BMY,0.25,0.18,0.2,0.21,0.16
BR,0.23,0.21,0.145,0.18,0.235
CARR,0.285,0.19,0.15,0.15,0.225
CDW,0.25,0.18,0.115,0.18,0.275
CE,0.23,0.2,0.14,0.17,0.26
CHTR,0.32,0.14,0.1,0.18,0.26
CNC,0.285,0.125,0.095,0.155,0.34
CNP,0.19,0.24,0.185,0.24,0.145
COP,0.295,0.14,0.11,0.145,0.31
CTAS,0.245,0.175,0.15,0.185,0.245
CZR,0.365,0.1,0.075,0.105,0.355
DG,0.215,0.22,0.125,0.2,0.24
DPZ,0.275,0.185,0.14,0.17,0.23
DRE,0.195,0.175,0.175,0.245,0.21
DXC,0.34,0.13,0.07,0.155,0.305
FB,0.325,0.14,0.095,0.12,0.32
FTV,0.18,0.25,0.175,0.205,0.19
GOOG,0.265,0.16,0.08,0.19,0.305
GPC,0.18,0.265,0.15,0.195,0.21
HIG,0.28,0.135,0.19,0.13,0.265
HST,0.27,0.185,0.135,0.125,0.285
JPM,0.215,0.2,0.205,0.175,0.205
KR,0.325,0.13,0.155,0.155,0.235
OGN,0.255,0.175,0.125,0.145,0.3
PG,0.16,0.265,0.215,0.265,0.095
PPL,0.11,0.31,0.23,0.235,0.115
PRU,0.21,0.2,0.205,0.205,0.18
PYPL,0.225,0.19,0.165,0.205,0.215
RE,0.22,0.2,0.14,0.22,0.22
ROL,0.26,0.18,0.1,0.225,0.235
ROST,0.25,0.19,0.15,0.14,0.27
UNH,0.22,0.175,0.155,0.215,0.235
URI,0.33,0.14,0.075,0.135,0.32
V,0.24,0.18,0.135,0.185,0.26
VRSK,0.22,0.245,0.18,0.2,0.155
WRK,0.31,0.125,0.095,0.18,0.29
XOM,0.23,0.16,0.18,0.185,0.245
IVV,0.12,0.2,0.345,0.215,0.12
IWM,0.195,0.23,0.155,0.19,0.23
EWU,0.2,0.2,0.155,0.2,0.245
EWG,0.105,0.3,0.245,0.225,0.125
EWL,0.09,0.25,0.28,0.28,0.1
EWQ,0.155,0.175,0.255,0.245,0.17
IEUS,0.03,0.285,0.395,0.27,0.02
EWJ,0.065,0.22,0.32,0.31,0.085
EWT,0.135,0.25,0.17,0.295,0.15
MCHI,0.24,0.195,0.14,0.18,0.245
INDA,0.145,0.215,0.215,0.275,0.15
EWY,0.165,0.21,0.22,0.165,0.24
EWA,0.105,0.215,0.31,0.205,0.165
EWH,0.125,0.28,0.265,0.215,0.115
EWZ,0.26,0.175,0.115,0.22,0.23
EWC,0.155,0.225,0.235,0.26,0.125
IEMG,0.14,0.205,0.27,0.25,0.135
LQD,0.0,0.285,0.48,0.235,0.0
HYG,0.0,0.22,0.62,0.16,0.0
SHY,0.0,0.03,0.97,0.0,0.0
IEF,0.0,0.255,0.575,0.17,0.0
TLT,0.11,0.27,0.225,0.33,0.065
SEGA.L,0.215,0.19,0.17,0.24,0.185
IEAA.L,0.225,0.15,0.2,0.2,0.225
HIGH.L,0.2,0.175,0.15,0.24,0.235
JPEA.L,0.215,0.185,0.18,0.145,0.275
IAU,0.085,0.29,0.28,0.275,0.07
SLV,0.235,0.19,0.19,0.235,0.15
GSG,0.15,0.25,0.23,0.21,0.16
REET,0.085,0.26,0.275,0.265,0.115
ICLN,0.215,0.19,0.145,0.185,0.265
IXN,0.18,0.22,0.175,0.255,0.17
IGF,0.095,0.265,0.275,0.29,0.075
IUVL.L,0.205,0.215,0.16,0.19,0.23
IUMO.L,0.2,0.175,0.175,0.22,0.23
SPMV.L,0.225,0.145,0.175,0.195,0.26
IEVL.L,0.225,0.18,0.15,0.195,0.25
IEFM.L,0.275,0.18,0.185,0.17,0.19
MVEU.L,0.215,0.165,0.15,0.225,0.245
XLK,0.185,0.24,0.14,0.255,0.18
XLF,0.175,0.25,0.215,0.185,0.175
XLV,0.14,0.275,0.24,0.225,0.12
XLE,0.24,0.2,0.115,0.2,0.245
XLY,0.21,0.175,0.19,0.195,0.23
XLI,0.17,0.195,0.305,0.205,0.125
XLC,0.145,0.235,0.235,0.215,0.17
XLU,0.115,0.22,0.32,0.225,0.12
XLP,0.09,0.305,0.31,0.23,0.065
XLB,0.165,0.25,0.2,0.235,0.15
VXX,0.385,0.06,0.075,0.09,0.39
