ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.22,0.24,0.115,0.19,0.235,0.01069
ACN,0.26,0.22,0.12,0.165,0.235,0.0
AEP,0.08,0.225,0.3,0.245,0.15,0.02754
AIZ,0.25,0.18,0.155,0.215,0.2,0.0007
ALLE,0.3,0.18,0.1,0.225,0.195,0.0
AMAT,0.305,0.14,0.195,0.085,0.275,0.0
AMP,0.28,0.18,0.15,0.14,0.25,0.0
AMZN,0.255,0.145,0.16,0.145,0.295,0.00197
AVB,0.18,0.22,0.19,0.22,0.19,0.00089
AVY,0.24,0.18,0.155,0.16,0.265,0.0
AXP,0.3,0.185,0.115,0.145,0.255,0.00529
BDX,0.24,0.155,0.145,0.235,0.225,0.0
BF-B,0.235,0.22,0.175,0.16,0.21,0.0
BMY,0.15,0.205,0.23,0.195,0.22,0.0
BR,0.225,0.2,0.135,0.17,0.27,0.0
CARR,0.26,0.18,0.125,0.16,0.275,0.0
CDW,0.245,0.15,0.17,0.145,0.29,0.0
CE,0.23,0.215,0.155,0.16,0.24,0.0
CHTR,0.265,0.22,0.09,0.19,0.235,0.0
CNC,0.31,0.16,0.095,0.155,0.28,0.00254
CNP,0.14,0.245,0.19,0.235,0.19,0.0
COP,0.29,0.095,0.13,0.2,0.285,0.0
CTAS,0.3,0.18,0.135,0.125,0.26,0.0
CZR,0.405,0.125,0.065,0.09,0.315,0.0
DG,0.165,0.195,0.225,0.21,0.205,0.00504
DPZ,0.27,0.225,0.14,0.175,0.19,0.00352
DRE,0.26,0.18,0.16,0.225,0.175,0.00079
DXC,0.365,0.115,0.085,0.105,0.33,0.0
FB,0.3,0.135,0.1,0.12,0.345,0.0
FTV,0.24,0.145,0.235,0.2,0.18,0.0
GOOG,0.255,0.115,0.18,0.195,0.255,0.0
GPC,0.185,0.175,0.235,0.23,0.175,0.00312
HIG,0.285,0.16,0.13,0.145,0.28,0.01028
HST,0.325,0.15,0.125,0.145,0.255,0.00369
JPM,0.23,0.17,0.18,0.19,0.23,0.00534
KR,0.27,0.18,0.15,0.12,0.28,0.01293
OGN,0.275,0.14,0.155,0.18,0.25,0.00145
PG,0.125,0.205,0.27,0.255,0.145,0.01061
PPL,0.155,0.22,0.27,0.23,0.125,0.0202
PRU,0.225,0.22,0.15,0.185,0.22,0.01128
PYPL,0.22,0.215,0.135,0.235,0.195,0.00424
RE,0.235,0.22,0.165,0.155,0.225,0.0
ROL,0.275,0.18,0.135,0.12,0.29,0.0
ROST,0.255,0.135,0.175,0.175,0.26,0.0
UNH,0.275,0.175,0.12,0.19,0.24,0.00024
URI,0.31,0.125,0.12,0.165,0.28,0.0
V,0.24,0.155,0.16,0.18,0.265,0.00406
VRSK,0.2,0.215,0.18,0.215,0.19,0.01013
WRK,0.285,0.215,0.105,0.12,0.275,0.0
XOM,0.23,0.19,0.095,0.235,0.25,0.0
IVV,0.125,0.26,0.235,0.285,0.095,0.0
IWM,0.235,0.165,0.22,0.19,0.19,0.0
EWU,0.215,0.16,0.185,0.205,0.235,0.0
EWG,0.11,0.285,0.23,0.29,0.085,0.0
EWL,0.07,0.305,0.285,0.235,0.105,0.0
EWQ,0.13,0.25,0.215,0.29,0.115,0.0
IEUS,0.025,0.265,0.445,0.25,0.015,0.06938
EWJ,0.07,0.27,0.315,0.25,0.095,0.0
EWT,0.175,0.225,0.2,0.225,0.175,0.00647
MCHI,0.235,0.18,0.12,0.185,0.28,0.00989
INDA,0.13,0.275,0.195,0.25,0.15,0.0
EWY,0.195,0.245,0.155,0.195,0.21,0.0
EWA,0.135,0.24,0.255,0.27,0.1,0.0
EWH,0.13,0.23,0.21,0.305,0.125,0.00523
EWZ,0.245,0.145,0.13,0.16,0.32,0.0
EWC,0.1,0.24,0.265,0.285,0.11,0.0
IEMG,0.16,0.205,0.24,0.23,0.165,0.0
LQD,0.015,0.24,0.485,0.255,0.005,0.04936
HYG,0.0,0.195,0.63,0.175,0.0,0.1236
SHY,0.0,0.015,0.975,0.01,0.0,0.29393
IEF,0.005,0.235,0.545,0.215,0.0,0.09521
TLT,0.12,0.285,0.19,0.3,0.105,0.0
SEGA.L,0.2,0.205,0.2,0.185,0.21,0.02627
IEAA.L,0.195,0.215,0.18,0.19,0.22,0.0
HIGH.L,0.21,0.19,0.195,0.155,0.25,0.0
JPEA.L,0.18,0.25,0.125,0.205,0.24,0.0
IAU,0.085,0.265,0.305,0.295,0.05,0.05909
SLV,0.195,0.195,0.2,0.19,0.22,0.0
GSG,0.135,0.26,0.18,0.245,0.18,0.02478
REET,0.1,0.31,0.235,0.255,0.1,0.0
ICLN,0.245,0.22,0.135,0.155,0.245,0.0
IXN,0.235,0.165,0.2,0.255,0.145,0.0
IGF,0.095,0.24,0.305,0.245,0.115,0.0
IUVL.L,0.145,0.22,0.16,0.21,0.265,0.0004
IUMO.L,0.14,0.21,0.195,0.225,0.23,0.01561
SPMV.L,0.165,0.235,0.18,0.195,0.225,0.0
IEVL.L,0.17,0.225,0.155,0.21,0.24,0.00978
IEFM.L,0.24,0.18,0.16,0.22,0.2,0.02861
MVEU.L,0.2,0.185,0.18,0.2,0.235,0.0
XLK,0.245,0.2,0.155,0.22,0.18,0.0
XLF,0.185,0.205,0.22,0.205,0.185,0.0
XLV,0.105,0.265,0.275,0.255,0.1,0.0
XLE,0.28,0.12,0.15,0.19,0.26,0.0
XLY,0.205,0.21,0.155,0.245,0.185,0.0
XLI,0.15,0.225,0.255,0.225,0.145,0.0
XLC,0.15,0.22,0.23,0.215,0.185,0.0
XLU,0.07,0.29,0.26,0.28,0.1,0.0
XLP,0.06,0.285,0.265,0.35,0.04,0.0
XLB,0.165,0.25,0.21,0.19,0.185,0.0
VXX,0.405,0.045,0.035,0.08,0.435,0.02584
