,0,1,2,3,4
ABBV,0.16985,0.2259,0.20765,0.22605,0.17055
ACN,0.26505,0.17145,0.13615,0.1623,0.26505
AEP,0.12055,0.2524,0.25275,0.2515,0.1228
AIZ,0.2354,0.18605,0.1563,0.18705,0.2352
ALLE,0.19825,0.2108,0.1864,0.2101,0.19445
AMAT,0.3092,0.1385,0.1076,0.13885,0.30585
AMP,0.2226,0.1914,0.1635,0.1906,0.2319
AMZN,0.24575,0.17955,0.1528,0.17415,0.24775
AVB,0.1795,0.2159,0.20315,0.22105,0.1804
AVY,0.2167,0.19295,0.1717,0.19915,0.2195
AXP,0.24975,0.1804,0.15185,0.1724,0.2456
BDX,0.17105,0.2265,0.2101,0.2142,0.17815
BF-B,0.23615,0.1864,0.1617,0.18355,0.2322
BMY,0.15145,0.23455,0.22645,0.23325,0.1543
BR,0.1902,0.21285,0.1926,0.2158,0.18855
CARR,0.23075,0.19065,0.15925,0.18845,0.2309
CDW,0.2476,0.17735,0.1543,0.17485,0.2459
CE,0.2392,0.18115,0.15805,0.1799,0.2417
CHTR,0.20585,0.20485,0.1833,0.20345,0.20255
CNC,0.23945,0.1812,0.1537,0.18255,0.2431
CNP,0.17295,0.22235,0.2076,0.22825,0.16885
COP,0.28035,0.1571,0.1292,0.15625,0.2771
CTAS,0.23395,0.1869,0.164,0.1818,0.23335
CZR,0.33635,0.11485,0.095,0.1182,0.3356
DG,0.2394,0.1798,0.15425,0.1847,0.24185
DPZ,0.29125,0.1496,0.1186,0.15075,0.2898
DRE,0.1807,0.2219,0.19905,0.2158,0.18255
DXC,0.2933,0.1452,0.1266,0.1451,0.2898
FB,0.286,0.1484,0.12585,0.15565,0.2841
FTV,0.20445,0.2098,0.1772,0.20415,0.2044
GOOG,0.23115,0.19035,0.16405,0.1841,0.23035
GPC,0.2249,0.18615,0.1697,0.19445,0.2248
HIG,0.2026,0.2007,0.1841,0.2087,0.2039
HST,0.20885,0.2026,0.18315,0.20175,0.20365
