,0,1,2,3,4
ABBV,0.14975,0.2371,0.23015,0.23755,0.14545
ACN,0.25885,0.1741,0.14175,0.1683,0.257
AEP,0.12535,0.25355,0.25065,0.24575,0.1247
AIZ,0.18525,0.20775,0.1941,0.2159,0.197
ALLE,0.1863,0.21235,0.1964,0.2165,0.18845
AMAT,0.3004,0.14325,0.11805,0.14235,0.29595
AMP,0.27485,0.1572,0.1337,0.1601,0.27415
AMZN,0.23085,0.18515,0.16525,0.1888,0.22995
AVB,0.1707,0.22325,0.21165,0.22435,0.17005
AVY,0.2318,0.19065,0.16075,0.18185,0.23495
AXP,0.2601,0.167,0.1403,0.1714,0.2612
BDX,0.14505,0.23965,0.2334,0.2343,0.1476
BF-B,0.0864,0.2602,0.2939,0.27015,0.08935
BMY,0.0969,0.26575,0.2822,0.25895,0.0962
BR,0.1585,0.2298,0.22545,0.23365,0.1526
CARR,0.22765,0.19195,0.16375,0.1873,0.22935
CDW,0.22785,0.18995,0.16105,0.1907,0.23045
CE,0.2385,0.1827,0.1594,0.1824,0.237
CHTR,0.21295,0.19915,0.17635,0.19695,0.2146
CNC,0.2321,0.19115,0.16155,0.1834,0.2318
CNP,0.16315,0.2282,0.2213,0.2253,0.16205
COP,0.2748,0.15595,0.1363,0.16055,0.2724
CTAS,0.22295,0.19225,0.16795,0.19195,0.2249
CZR,0.332,0.1201,0.10225,0.123,0.32265
DG,0.23455,0.183,0.1643,0.18885,0.2293
DPZ,0.24255,0.1795,0.156,0.1826,0.23935
DRE,0.03615,0.26955,0.3886,0.26855,0.03715
DXC,0.29925,0.14055,0.119,0.1408,0.3004
FB,0.26535,0.1641,0.14285,0.1612,0.2665
FTV,0.2164,0.195,0.1724,0.19775,0.21845
GOOG,0.20645,0.2001,0.18245,0.20665,0.20435
GPC,0.218,0.19555,0.17005,0.19865,0.21775
HIG,0.214,0.19965,0.17235,0.19975,0.21425
HST,0.25105,0.1759,0.14975,0.1754,0.2479
JPM,0.24325,0.17995,0.1546,0.1786,0.2436
KR,0.24185,0.17885,0.15425,0.1809,0.24415
OGN,0.19865,0.2082,0.1858,0.2056,0.20175
PG,0.1362,0.24435,0.24775,0.2382,0.1335
PPL,0.1354,0.24305,0.24345,0.24805,0.13005
PRU,0.23875,0.181,0.1558,0.17975,0.2447
PYPL,0.311,0.1328,0.11455,0.1372,0.30445
RE,0.21385,0.19855,0.17835,0.19345,0.2158
ROL,0.23255,0.1908,0.1597,0.1834,0.23355
ROST,0.263,0.16745,0.1452,0.1682,0.25615
UNH,0.17015,0.22405,0.2123,0.22835,0.16515
URI,0.2784,0.15395,0.12935,0.1581,0.2802
V,0.2272,0.1887,0.1702,0.1874,0.2265
VRSK,0.1957,0.2111,0.19075,0.2068,0.19565
WRK,0.23785,0.18425,0.1603,0.17825,0.23935
XOM,0.2427,0.1798,0.15565,0.17705,0.2448
IVV,0.1586,0.23125,0.2211,0.23195,0.1571
IWM,0.20385,0.20535,0.1794,0.20465,0.20675
EWU,0.232,0.1864,0.16005,0.19265,0.2289
EWG,0.28645,0.1496,0.1271,0.15155,0.2853
EWL,0.19765,0.20775,0.18725,0.21115,0.1962
EWQ,0.2876,0.15365,0.12245,0.1507,0.2856
IEUS,0.1846,0.2143,0.20025,0.21685,0.184
EWJ,0.12535,0.25055,0.2508,0.2458,0.1275
EWT,0.2147,0.19745,0.17785,0.1991,0.2109
MCHI,0.22915,0.18725,0.1632,0.1882,0.2322
INDA,0.1921,0.2126,0.19185,0.21445,0.189
EWY,0.2109,0.2007,0.17775,0.19895,0.2117
EWA,0.15845,0.23055,0.219,0.23335,0.15865
EWH,0.17035,0.2222,0.2147,0.2245,0.16825
EWZ,0.23405,0.1836,0.16525,0.188,0.2291
EWC,0.1461,0.2369,0.23155,0.2348,0.15065
IEMG,0.1917,0.21355,0.1917,0.2082,0.19485
LQD,0.0166,0.255,0.45685,0.2563,0.01525
HYG,0.0083,0.24405,0.49055,0.24865,0.00845
SHY,0.0,0.09215,0.8102,0.09765,0.0
IEF,0.0129,0.2492,0.47435,0.25115,0.0124
TLT,0.11375,0.2506,0.27665,0.25145,0.10755
SEGA.L,0.2141,0.19585,0.1731,0.19545,0.2215
IEAA.L,0.21125,0.19675,0.1812,0.20245,0.20835
HIGH.L,0.21395,0.1951,0.17895,0.19735,0.21465
JPEA.L,0.21495,0.19475,0.17755,0.2005,0.21225
IAU,0.13995,0.24025,0.23965,0.24305,0.1371
SLV,0.21935,0.19565,0.1666,0.19145,0.22695
GSG,0.32525,0.1221,0.1016,0.1232,0.32785
REET,0.0568,0.27255,0.34445,0.2689,0.0573
ICLN,0.2472,0.17885,0.1494,0.1775,0.24705
IXN,0.2392,0.1819,0.15805,0.18415,0.2367
IGF,0.20645,0.2049,0.1843,0.19745,0.2069
IUVL.L,0.21525,0.195,0.17505,0.19765,0.21705
IUMO.L,0.21425,0.19295,0.18025,0.19545,0.2171
