,0,1,2,3,4
ABBV,0.178726,0.215584,0.211784,0.21444,0.179466
ACN,0.202042,0.200906,0.193068,0.201656,0.202328
AEP,0.149232,0.231802,0.23842,0.2313,0.149246
AIZ,0.177118,0.216492,0.212962,0.216274,0.177154
ALLE,0.227812,0.185698,0.172096,0.185728,0.228666
AMAT,0.290506,0.145942,0.128626,0.145652,0.289274
AMP,0.253298,0.169964,0.153584,0.170028,0.253126
AMZN,0.27154,0.157502,0.140808,0.15837,0.27178
AVB,0.170664,0.219656,0.22036,0.21956,0.16976
AVY,0.215066,0.193698,0.181902,0.194874,0.21446
AXP,0.253872,0.169758,0.153968,0.16973,0.252672
BDX,0.165524,0.222558,0.224492,0.221774,0.165652
BF-B,0.153074,0.229016,0.235362,0.228792,0.153756
BMY,0.166046,0.221738,0.223418,0.22241,0.166388
BR,0.204198,0.199888,0.190658,0.200678,0.204578
CARR,0.235702,0.180296,0.166414,0.181818,0.23577
CDW,0.228542,0.185712,0.17168,0.185788,0.228278
CE,0.234466,0.18183,0.168774,0.18038,0.23455
CHTR,0.248748,0.174262,0.156428,0.171962,0.2486
CNC,0.261026,0.16455,0.148172,0.165438,0.260814
CNP,0.161132,0.22558,0.227168,0.224528,0.161592
COP,0.267674,0.160724,0.143968,0.159826,0.267808
CTAS,0.20663,0.19858,0.18992,0.198772,0.206098
CZR,0.324736,0.123362,0.106142,0.122826,0.322934
DG,0.180302,0.214644,0.21127,0.213274,0.18051
DPZ,0.2857,0.149192,0.13157,0.148662,0.284876
DRE,0.16702,0.222058,0.222442,0.220898,0.167582
DXC,0.292356,0.144482,0.12768,0.145036,0.290446
FB,0.311392,0.131128,0.114034,0.131302,0.312144
FTV,0.222878,0.188982,0.176084,0.189192,0.222864
GOOG,0.246348,0.174054,0.159114,0.173046,0.247438
GPC,0.206624,0.198838,0.18852,0.199654,0.206364
HIG,0.227404,0.186372,0.173168,0.18574,0.227316
HST,0.250016,0.171866,0.1574,0.172424,0.248294
JPM,0.232348,0.183636,0.17039,0.182972,0.230654
KR,0.23244,0.18277,0.169826,0.182582,0.232382
OGN,0.228048,0.18537,0.172586,0.185436,0.22856
PG,0.16724,0.22139,0.22175,0.221956,0.167664
PPL,0.134636,0.240146,0.252882,0.23782,0.134516
PRU,0.216434,0.192624,0.182974,0.192212,0.215756
PYPL,0.296046,0.141778,0.12533,0.1417,0.295146
RE,0.20431,0.198988,0.192992,0.199868,0.203842
ROL,0.219308,0.19137,0.179824,0.190924,0.218574
ROST,0.237764,0.18109,0.165,0.179314,0.236832
UNH,0.20644,0.199446,0.189344,0.198284,0.206486
URI,0.28217,0.150566,0.134598,0.150696,0.28197
V,0.238072,0.17864,0.165852,0.17911,0.238326
VRSK,0.210076,0.196896,0.186192,0.196696,0.21014
WRK,0.245582,0.175098,0.159882,0.174994,0.244444
XOM,0.248264,0.173284,0.157504,0.17231,0.248638
IVV,0.12961,0.24116,0.258204,0.241654,0.129372
IWM,0.1846,0.21221,0.208142,0.211422,0.183626
EWU,0.14984,0.231068,0.238866,0.23016,0.150066
EWG,0.214742,0.193202,0.182218,0.193708,0.21613
EWL,0.146814,0.231206,0.241154,0.233074,0.147752
EWQ,0.228634,0.183982,0.172774,0.18422,0.23039
IEUS,0.180146,0.214792,0.209096,0.21414,0.181826
EWJ,0.145788,0.232376,0.242116,0.232844,0.146876
EWT,0.185704,0.21024,0.2059,0.211972,0.186184
MCHI,0.252316,0.169822,0.15504,0.169568,0.253254
INDA,0.156724,0.22588,0.231588,0.227348,0.15846
EWY,0.197452,0.204324,0.197356,0.204784,0.196084
EWA,0.149072,0.23064,0.239832,0.231696,0.14876
EWH,0.165612,0.221974,0.222788,0.222568,0.167058
EWZ,0.222398,0.188482,0.17671,0.189066,0.223344
EWC,0.131592,0.239414,0.256596,0.241284,0.131114
IEMG,0.15343,0.22818,0.234478,0.229374,0.154538
LQD,0.07653,0.261168,0.323618,0.262228,0.076456
HYG,0.059108,0.263992,0.352424,0.26509,0.059386
SHY,0.011138,0.240146,0.498298,0.239618,0.0108
IEF,0.059662,0.264286,0.351978,0.26497,0.059104
TLT,0.158944,0.225912,0.229766,0.226012,0.159366
SEGA.L,0.206528,0.199584,0.188918,0.197666,0.207304
IEAA.L,0.20712,0.19845,0.188402,0.19797,0.208058
HIGH.L,0.208376,0.19786,0.187412,0.197504,0.208848
JPEA.L,0.208614,0.198744,0.18774,0.197364,0.207538
IAU,0.127742,0.242192,0.260536,0.241726,0.127804
SLV,0.208164,0.198992,0.187444,0.197888,0.207512
GSG,0.286896,0.1484,0.131104,0.147512,0.286088
REET,0.132992,0.238904,0.257032,0.239272,0.1318
ICLN,0.24486,0.174392,0.160302,0.175992,0.244454
IXN,0.201674,0.20075,0.192552,0.20186,0.203164
IGF,0.111468,0.249316,0.27814,0.249572,0.111504
IUVL.L,0.20823,0.197934,0.188464,0.198018,0.207354
IUMO.L,0.207984,0.19902,0.187962,0.197806,0.207228
SPMV.L,0.208312,0.19778,0.188094,0.19799,0.207824
IEVL.L,0.20827,0.198424,0.187556,0.197418,0.208332
IEFM.L,0.2091,0.198606,0.187688,0.197114,0.207492
MVEU.L,0.20909,0.197938,0.188486,0.196502,0.207984
XLK,0.188078,0.209102,0.203174,0.209866,0.18978
XLF,0.174238,0.218194,0.214604,0.216578,0.176386
XLV,0.109544,0.249884,0.28132,0.249534,0.109718
XLE,0.23714,0.179924,0.165504,0.180526,0.236906
XLY,0.20783,0.196474,0.188258,0.198974,0.208464
XLI,0.14187,0.234526,0.246382,0.235552,0.14167
XLC,0.161314,0.223406,0.227402,0.22526,0.162618
XLU,0.12297,0.244854,0.265842,0.244224,0.12211
XLP,0.099098,0.252964,0.29397,0.25455,0.099418
XLB,0.150002,0.229854,0.238882,0.23106,0.150202
VXX,0.416048,0.05927,0.049506,0.059196,0.41598
