,0,1,2,3,4
ABBV,0.171848,0.217586,0.218458,0.218968,0.17314
ACN,0.205816,0.199878,0.189506,0.1996,0.2052
AEP,0.15963,0.224966,0.229724,0.22534,0.16034
AIZ,0.171376,0.219334,0.218276,0.21857,0.172444
ALLE,0.170372,0.219878,0.219508,0.219806,0.170436
AMAT,0.280152,0.151742,0.13634,0.153236,0.27853
AMP,0.242474,0.17702,0.162142,0.176386,0.241978
AMZN,0.27212,0.15843,0.141082,0.157278,0.27109
AVB,0.202948,0.201,0.191284,0.199474,0.205294
AVY,0.235692,0.180822,0.16824,0.181842,0.233404
AXP,0.258868,0.166514,0.15097,0.165526,0.258122
BDX,0.165744,0.221784,0.223258,0.222884,0.16633
BF-B,0.203276,0.200412,0.192426,0.2009,0.202986
BMY,0.143266,0.233366,0.245252,0.233584,0.144532
BR,0.192354,0.208108,0.199856,0.20728,0.192402
CARR,0.228856,0.1847,0.172178,0.185628,0.228638
CDW,0.217928,0.19166,0.180776,0.191276,0.21836
CE,0.243914,0.175822,0.161816,0.176358,0.24209
CHTR,0.242418,0.17674,0.161574,0.175824,0.243444
CNC,0.235384,0.180282,0.167528,0.181076,0.23573
CNP,0.180066,0.214796,0.21077,0.213666,0.180702
COP,0.302842,0.137782,0.120678,0.137386,0.301312
CTAS,0.236876,0.180458,0.166128,0.179926,0.236612
CZR,0.344218,0.109402,0.093998,0.109544,0.342838
DG,0.1906,0.207994,0.202808,0.208024,0.190574
DPZ,0.242204,0.176632,0.162412,0.176384,0.242368
DRE,0.228786,0.184934,0.171494,0.184306,0.23048
DXC,0.273084,0.157052,0.141016,0.15757,0.271278
FB,0.213402,0.195146,0.184724,0.19423,0.212498
FTV,0.218798,0.190276,0.18156,0.191266,0.2181
GOOG,0.252488,0.170804,0.15487,0.169464,0.252374
GPC,0.195114,0.205712,0.199486,0.204838,0.19485
HIG,0.210092,0.196112,0.18706,0.197816,0.20892
HST,0.282124,0.151762,0.134542,0.15111,0.280462
JPM,0.226714,0.186406,0.174236,0.186624,0.22602
KR,0.216678,0.192112,0.180642,0.192258,0.21831
OGN,0.230158,0.183548,0.17077,0.184284,0.23124
PG,0.17731,0.21602,0.213648,0.215364,0.177658
PPL,0.150196,0.230512,0.238864,0.230134,0.150294
PRU,0.215784,0.192904,0.182534,0.194034,0.214744
PYPL,0.323568,0.12354,0.10714,0.124246,0.321506
RE,0.194844,0.206158,0.19904,0.20641,0.193548
ROL,0.198982,0.203926,0.194764,0.202836,0.199492
ROST,0.254384,0.168578,0.153432,0.168966,0.25464
UNH,0.21115,0.195564,0.185942,0.196436,0.210908
URI,0.284578,0.149388,0.133542,0.149466,0.283026
V,0.2172,0.192542,0.1811,0.19197,0.217188
VRSK,0.200312,0.20274,0.192974,0.201994,0.20198
WRK,0.246758,0.175098,0.159328,0.173416,0.2454
XOM,0.269914,0.1601,0.142714,0.158136,0.269136
IVV,0.164244,0.223676,0.225124,0.22345,0.163506
IWM,0.205674,0.19996,0.190262,0.198664,0.20544
EWU,0.154322,0.228164,0.235384,0.228042,0.154088
EWG,0.189876,0.20834,0.203944,0.20858,0.18926
EWL,0.17202,0.219036,0.21806,0.21879,0.172094
EWQ,0.184724,0.210948,0.2095,0.21087,0.183958
IEUS,0.133006,0.239038,0.256234,0.239406,0.132316
EWJ,0.140636,0.23624,0.247278,0.234946,0.1409
EWT,0.181502,0.213676,0.210708,0.213302,0.180812
MCHI,0.238846,0.179646,0.164256,0.17875,0.238502
INDA,0.1676,0.22155,0.222774,0.220642,0.167434
EWY,0.184,0.212504,0.20852,0.211708,0.183268
EWA,0.176302,0.21687,0.214938,0.215728,0.176162
EWH,0.156158,0.226728,0.234196,0.228004,0.154914
EWZ,0.244004,0.175464,0.160904,0.176274,0.243354
EWC,0.17463,0.21792,0.216712,0.217034,0.173704
IEMG,0.153896,0.228694,0.235024,0.228522,0.153864
LQD,0.067578,0.262586,0.337674,0.262848,0.069314
HYG,0.090236,0.256068,0.305868,0.257152,0.090676
SHY,0.007462,0.229758,0.521956,0.232874,0.00795
IEF,0.056878,0.263434,0.356386,0.265226,0.058076
TLT,0.139922,0.235114,0.247244,0.235128,0.142592
SEGA.L,0.202958,0.199878,0.191708,0.200858,0.204598
IEAA.L,0.202432,0.200116,0.19118,0.200512,0.20576
HIGH.L,0.203554,0.199442,0.190628,0.200848,0.205528
JPEA.L,0.20325,0.199184,0.192398,0.198858,0.20631
IAU,0.093182,0.25564,0.301436,0.255908,0.093834
SLV,0.188296,0.210196,0.204978,0.208722,0.187808
GSG,0.242932,0.175566,0.162488,0.176824,0.24219
REET,0.121274,0.245326,0.266926,0.245678,0.120796
ICLN,0.255832,0.168854,0.152736,0.167162,0.255416
IXN,0.201416,0.202268,0.193564,0.201194,0.201558
IGF,0.089514,0.257648,0.305826,0.257874,0.089138
IUVL.L,0.202838,0.20005,0.192476,0.200688,0.203948
IUMO.L,0.203308,0.19985,0.192592,0.200012,0.204238
SPMV.L,0.20332,0.199714,0.19101,0.200844,0.205112
IEVL.L,0.20362,0.200004,0.192092,0.200076,0.204208
IEFM.L,0.203238,0.20096,0.19089,0.200368,0.204544
MVEU.L,0.203914,0.199348,0.190744,0.200458,0.205536
XLK,0.206034,0.199978,0.189026,0.198838,0.206124
XLF,0.183822,0.211984,0.208342,0.212544,0.183308
XLV,0.132122,0.239196,0.255526,0.240018,0.133138
XLE,0.271862,0.158302,0.141666,0.158214,0.269956
XLY,0.2245,0.18761,0.175732,0.189006,0.223152
XLI,0.158872,0.226084,0.230704,0.226344,0.157996
XLC,0.194426,0.206448,0.199574,0.205966,0.193586
XLU,0.14229,0.234558,0.246446,0.233794,0.142912
XLP,0.123788,0.2435,0.265074,0.244,0.123638
XLB,0.1822,0.212834,0.211194,0.213,0.180772
VXX,0.33803,0.112006,0.097688,0.112512,0.339764
