,0,1,2,3,4
ABBV,0.180966,0.213176,0.21188,0.212942,0.181036
ACN,0.200926,0.202206,0.194692,0.202156,0.20002
AEP,0.156562,0.22637,0.234562,0.225864,0.156642
AIZ,0.179128,0.21366,0.213496,0.212922,0.180794
ALLE,0.223164,0.188106,0.178294,0.186956,0.22348
AMAT,0.279416,0.152062,0.136394,0.152498,0.27963
AMP,0.246164,0.173964,0.16071,0.17291,0.246252
AMZN,0.262908,0.163246,0.148338,0.162848,0.26266
AVB,0.173848,0.216268,0.219274,0.217536,0.173074
AVY,0.2108,0.195942,0.186196,0.195822,0.21124
AXP,0.245374,0.173512,0.161212,0.174204,0.245698
BDX,0.169414,0.219594,0.223094,0.218714,0.169184
BF-B,0.159018,0.22562,0.23105,0.224346,0.159966
BMY,0.169526,0.21903,0.222278,0.218994,0.170172
BR,0.202216,0.20167,0.194284,0.200052,0.201778
CARR,0.229908,0.182928,0.172834,0.183762,0.230568
CDW,0.223918,0.188224,0.177102,0.187314,0.223442
CE,0.229514,0.183498,0.173752,0.183232,0.230004
CHTR,0.241258,0.176836,0.163484,0.176332,0.24209
CNC,0.252094,0.169582,0.155314,0.169108,0.253902
CNP,0.166072,0.221434,0.22475,0.220228,0.167516
COP,0.259044,0.165536,0.151806,0.165546,0.258068
CTAS,0.204384,0.199504,0.192558,0.198892,0.204662
CZR,0.312996,0.130076,0.114378,0.130504,0.312046
DG,0.18184,0.212268,0.212194,0.212408,0.18129
DPZ,0.276746,0.15369,0.139278,0.155802,0.274484
DRE,0.171212,0.21782,0.220856,0.21914,0.170972
DXC,0.281488,0.150886,0.134808,0.151326,0.281492
FB,0.299692,0.139314,0.123308,0.13818,0.299506
FTV,0.218178,0.19082,0.181352,0.19036,0.21929
GOOG,0.239808,0.177308,0.165938,0.178516,0.23843
GPC,0.205026,0.198896,0.19303,0.197648,0.2054
HIG,0.22293,0.187296,0.177678,0.18836,0.223736
HST,0.24278,0.175098,0.163574,0.175956,0.242592
JPM,0.226938,0.185652,0.174564,0.185936,0.22691
KR,0.227924,0.184936,0.17482,0.185082,0.227238
OGN,0.22404,0.187006,0.17715,0.1882,0.223604
PG,0.171098,0.21841,0.22052,0.218434,0.171538
PPL,0.144136,0.232844,0.245308,0.233064,0.144648
PRU,0.213442,0.194518,0.184422,0.19384,0.213778
PYPL,0.28666,0.148214,0.132102,0.147864,0.28516
RE,0.201748,0.200936,0.193722,0.20057,0.203024
ROL,0.214944,0.192526,0.184208,0.192236,0.216086
ROST,0.232068,0.182592,0.170416,0.183474,0.23145
UNH,0.203836,0.19916,0.192538,0.199892,0.204574
URI,0.272572,0.155422,0.142614,0.156822,0.27257
V,0.231434,0.182978,0.17089,0.18243,0.232268
VRSK,0.20729,0.197066,0.191352,0.195836,0.208456
WRK,0.239312,0.177664,0.165602,0.178114,0.239308
XOM,0.24168,0.176162,0.16454,0.176052,0.241566
IVV,0.13927,0.234518,0.252252,0.235112,0.138848
IWM,0.18563,0.210512,0.207732,0.2106,0.185526
EWU,0.156522,0.225752,0.234288,0.22716,0.156278
EWG,0.212716,0.194856,0.185682,0.194242,0.212504
EWL,0.154076,0.228038,0.235438,0.228082,0.154366
EWQ,0.22457,0.187706,0.176268,0.186826,0.22463
IEUS,0.182578,0.212776,0.210302,0.211498,0.182846
EWJ,0.15321,0.22762,0.237064,0.228126,0.15398
EWT,0.186822,0.209536,0.206036,0.209864,0.187742
MCHI,0.24551,0.173392,0.160844,0.174566,0.245688
INDA,0.163164,0.223396,0.228206,0.222062,0.163172
EWY,0.196988,0.203474,0.198934,0.204262,0.196342
EWA,0.155512,0.227264,0.234254,0.227252,0.155718
EWH,0.170068,0.218724,0.222536,0.219072,0.1696
EWZ,0.218226,0.19084,0.181508,0.190578,0.218848
EWC,0.14135,0.233902,0.249492,0.23469,0.140566
IEMG,0.160018,0.224564,0.231028,0.22433,0.16006
LQD,0.095512,0.254422,0.301456,0.254712,0.093898
HYG,0.080956,0.25926,0.32146,0.25869,0.079634
SHY,0.031844,0.260272,0.41766,0.258692,0.031532
IEF,0.080522,0.25944,0.321962,0.258058,0.080018
TLT,0.164172,0.222604,0.227806,0.222518,0.1629
SEGA.L,0.206056,0.198306,0.191672,0.198132,0.205834
IEAA.L,0.206252,0.198914,0.191256,0.19766,0.205918
HIGH.L,0.205274,0.198362,0.191826,0.198988,0.20555
JPEA.L,0.205752,0.198332,0.192098,0.197164,0.206654
IAU,0.137802,0.234944,0.252778,0.236546,0.13793
SLV,0.205826,0.19942,0.191212,0.197644,0.205898
GSG,0.277728,0.153672,0.138904,0.152918,0.276778
REET,0.141366,0.234488,0.248788,0.233764,0.141594
ICLN,0.237662,0.179086,0.166478,0.1787,0.238074
IXN,0.201268,0.200048,0.196094,0.202494,0.200096
IGF,0.12493,0.241648,0.266972,0.241892,0.124558
IUVL.L,0.20598,0.19849,0.191258,0.198286,0.205986
IUMO.L,0.20584,0.198592,0.191114,0.19858,0.205874
SPMV.L,0.206072,0.197852,0.191816,0.19736,0.2069
IEVL.L,0.205664,0.198534,0.19057,0.198552,0.20668
IEFM.L,0.206098,0.197944,0.191208,0.19762,0.20713
MVEU.L,0.205926,0.19769,0.191456,0.19844,0.206488
XLK,0.190114,0.206866,0.205608,0.208458,0.188954
XLF,0.178784,0.213686,0.214676,0.214562,0.178292
XLV,0.123124,0.242932,0.268016,0.243734,0.122194
XLE,0.232018,0.18239,0.171876,0.182392,0.231324
XLY,0.206802,0.197432,0.191496,0.198392,0.205878
XLI,0.149772,0.229158,0.240858,0.23041,0.149802
XLC,0.166554,0.220434,0.225888,0.221074,0.16605
XLU,0.134082,0.237548,0.25633,0.237922,0.134118
XLP,0.114164,0.246598,0.278118,0.245914,0.115206
XLB,0.157138,0.225532,0.23436,0.225532,0.157438
VXX,0.405276,0.066708,0.05655,0.066654,0.404812
