ID,Rank1,Rank2,Rank3,Rank4,Rank5,Decision
ABBV,0.25,0.17,0.195,0.19,0.195,0.00049
ACN,0.255,0.155,0.175,0.22,0.195,0.0
AEP,0.15,0.25,0.22,0.23,0.15,0.00421
AIZ,0.2,0.22,0.175,0.18,0.225,0.0
ALLE,0.255,0.215,0.1,0.22,0.21,0.0
AMAT,0.3,0.17,0.095,0.145,0.29,0.0
AMP,0.22,0.16,0.2,0.155,0.265,0.0
AMZN,0.22,0.17,0.145,0.155,0.31,0.0
AVB,0.175,0.23,0.175,0.215,0.205,0.0
AVY,0.24,0.215,0.135,0.165,0.245,0.0
AXP,0.27,0.155,0.13,0.165,0.28,0.00456
BDX,0.22,0.19,0.18,0.17,0.24,0.0
BF-B,0.19,0.19,0.195,0.195,0.23,0.0
BMY,0.25,0.18,0.2,0.21,0.16,0.0
BR,0.23,0.21,0.145,0.18,0.235,0.0
CARR,0.285,0.19,0.15,0.15,0.225,0.0
CDW,0.25,0.18,0.115,0.18,0.275,0.0
CE,0.23,0.2,0.14,0.17,0.26,0.0
CHTR,0.32,0.14,0.1,0.18,0.26,0.0
CNC,0.285,0.125,0.095,0.155,0.34,0.00107
CNP,0.19,0.24,0.185,0.24,0.145,0.0
COP,0.295,0.14,0.11,0.145,0.31,0.0
CTAS,0.245,0.175,0.15,0.185,0.245,0.0
CZR,0.365,0.1,0.075,0.105,0.355,0.0
DG,0.215,0.22,0.125,0.2,0.24,0.0
DPZ,0.275,0.185,0.14,0.17,0.23,0.0
DRE,0.195,0.175,0.175,0.245,0.21,0.0
DXC,0.34,0.13,0.07,0.155,0.305,0.0
FB,0.325,0.14,0.095,0.12,0.32,0.0
FTV,0.18,0.25,0.175,0.205,0.19,0.0
GOOG,0.265,0.16,0.08,0.19,0.305,0.0
GPC,0.18,0.265,0.15,0.195,0.21,0.0
HIG,0.28,0.135,0.19,0.13,0.265,0.00406
HST,0.27,0.185,0.135,0.125,0.285,0.0
JPM,0.215,0.2,0.205,0.175,0.205,0.0
KR,0.325,0.13,0.155,0.155,0.235,0.00348
OGN,0.255,0.175,0.125,0.145,0.3,0.00085
PG,0.16,0.265,0.215,0.265,0.095,0.0
PPL,0.11,0.31,0.23,0.235,0.115,0.0
PRU,0.21,0.2,0.205,0.205,0.18,0.00408
PYPL,0.225,0.19,0.165,0.205,0.215,0.0
RE,0.22,0.2,0.14,0.22,0.22,0.0
ROL,0.26,0.18,0.1,0.225,0.235,0.0
ROST,0.25,0.19,0.15,0.14,0.27,0.0
UNH,0.22,0.175,0.155,0.215,0.235,0.0
URI,0.33,0.14,0.075,0.135,0.32,0.0
V,0.24,0.18,0.135,0.185,0.26,0.00432
VRSK,0.22,0.245,0.18,0.2,0.155,0.0
WRK,0.31,0.125,0.095,0.18,0.29,0.0
XOM,0.23,0.16,0.18,0.185,0.245,0.0
IVV,0.12,0.2,0.345,0.215,0.12,0.0
IWM,0.195,0.23,0.155,0.19,0.23,0.0
EWU,0.2,0.2,0.155,0.2,0.245,0.00333
EWG,0.105,0.3,0.245,0.225,0.125,0.0
EWL,0.09,0.25,0.28,0.28,0.1,0.0
EWQ,0.155,0.175,0.255,0.245,0.17,0.0
IEUS,0.03,0.285,0.395,0.27,0.02,0.0
EWJ,0.065,0.22,0.32,0.31,0.085,0.0
EWT,0.135,0.25,0.17,0.295,0.15,0.0
MCHI,0.24,0.195,0.14,0.18,0.245,0.0067
INDA,0.145,0.215,0.215,0.275,0.15,0.0
EWY,0.165,0.21,0.22,0.165,0.24,0.0
EWA,0.105,0.215,0.31,0.205,0.165,0.0
EWH,0.125,0.28,0.265,0.215,0.115,0.0
EWZ,0.26,0.175,0.115,0.22,0.23,0.0
EWC,0.155,0.225,0.235,0.26,0.125,0.0
IEMG,0.14,0.205,0.27,0.25,0.135,0.0
LQD,0.0,0.285,0.48,0.235,0.0,0.0
HYG,0.0,0.22,0.62,0.16,0.0,0.0
SHY,0.0,0.03,0.97,0.0,0.0,0.92708
IEF,0.0,0.255,0.575,0.17,0.0,0.0
TLT,0.11,0.27,0.225,0.33,0.065,0.0
SEGA.L,0.215,0.19,0.17,0.24,0.185,0.00235
IEAA.L,0.225,0.15,0.2,0.2,0.225,0.0
HIGH.L,0.2,0.175,0.15,0.24,0.235,0.0
JPEA.L,0.215,0.185,0.18,0.145,0.275,0.0
IAU,0.085,0.29,0.28,0.275,0.07,0.00201
SLV,0.235,0.19,0.19,0.235,0.15,0.0
GSG,0.15,0.25,0.23,0.21,0.16,0.00824
REET,0.085,0.26,0.275,0.265,0.115,0.0
ICLN,0.215,0.19,0.145,0.185,0.265,0.0
IXN,0.18,0.22,0.175,0.255,0.17,0.0
IGF,0.095,0.265,0.275,0.29,0.075,0.0
IUVL.L,0.205,0.215,0.16,0.19,0.23,0.0
IUMO.L,0.2,0.175,0.175,0.22,0.23,0.00177
SPMV.L,0.225,0.145,0.175,0.195,0.26,0.0
IEVL.L,0.225,0.18,0.15,0.195,0.25,0.01622
IEFM.L,0.275,0.18,0.185,0.17,0.19,0.00012
MVEU.L,0.215,0.165,0.15,0.225,0.245,0.0
XLK,0.185,0.24,0.14,0.255,0.18,0.0
XLF,0.175,0.25,0.215,0.185,0.175,0.0
XLV,0.14,0.275,0.24,0.225,0.12,0.0
XLE,0.24,0.2,0.115,0.2,0.245,0.0
XLY,0.21,0.175,0.19,0.195,0.23,0.0
XLI,0.17,0.195,0.305,0.205,0.125,0.0
XLC,0.145,0.235,0.235,0.215,0.17,0.0
XLU,0.115,0.22,0.32,0.225,0.12,0.0
XLP,0.09,0.305,0.31,0.23,0.065,0.0
XLB,0.165,0.25,0.2,0.235,0.15,0.0
VXX,0.385,0.06,0.075,0.09,0.39,0.00507
