,0,1,2,3,4
ABBV,0.22,0.24,0.115,0.19,0.235
ACN,0.26,0.22,0.12,0.165,0.235
AEP,0.08,0.225,0.3,0.245,0.15
AIZ,0.25,0.18,0.155,0.215,0.2
ALLE,0.3,0.18,0.1,0.225,0.195
AMAT,0.305,0.14,0.195,0.085,0.275
AMP,0.28,0.18,0.15,0.14,0.25
AMZN,0.255,0.145,0.16,0.145,0.295
AVB,0.18,0.22,0.19,0.22,0.19
AVY,0.24,0.18,0.155,0.16,0.265
AXP,0.3,0.185,0.115,0.145,0.255
BDX,0.24,0.155,0.145,0.235,0.225
BF-B,0.235,0.22,0.175,0.16,0.21
BMY,0.15,0.205,0.23,0.195,0.22
BR,0.225,0.2,0.135,0.17,0.27
CARR,0.26,0.18,0.125,0.16,0.275
CDW,0.245,0.15,0.17,0.145,0.29
CE,0.23,0.215,0.155,0.16,0.24
CHTR,0.265,0.22,0.09,0.19,0.235
CNC,0.31,0.16,0.095,0.155,0.28
CNP,0.14,0.245,0.19,0.235,0.19
COP,0.29,0.095,0.13,0.2,0.285
CTAS,0.3,0.18,0.135,0.125,0.26
CZR,0.405,0.125,0.065,0.09,0.315
DG,0.165,0.195,0.225,0.21,0.205
DPZ,0.27,0.225,0.14,0.175,0.19
DRE,0.26,0.18,0.16,0.225,0.175
DXC,0.365,0.115,0.085,0.105,0.33
FB,0.3,0.135,0.1,0.12,0.345
FTV,0.24,0.145,0.235,0.2,0.18
GOOG,0.255,0.115,0.18,0.195,0.255
GPC,0.185,0.175,0.235,0.23,0.175
HIG,0.285,0.16,0.13,0.145,0.28
HST,0.325,0.15,0.125,0.145,0.255
JPM,0.23,0.17,0.18,0.19,0.23
KR,0.27,0.18,0.15,0.12,0.28
OGN,0.275,0.14,0.155,0.18,0.25
PG,0.125,0.205,0.27,0.255,0.145
PPL,0.155,0.22,0.27,0.23,0.125
PRU,0.225,0.22,0.15,0.185,0.22
PYPL,0.22,0.215,0.135,0.235,0.195
RE,0.235,0.22,0.165,0.155,0.225
ROL,0.275,0.18,0.135,0.12,0.29
ROST,0.255,0.135,0.175,0.175,0.26
UNH,0.275,0.175,0.12,0.19,0.24
URI,0.31,0.125,0.12,0.165,0.28
V,0.24,0.155,0.16,0.18,0.265
VRSK,0.2,0.215,0.18,0.215,0.19
WRK,0.285,0.215,0.105,0.12,0.275
XOM,0.23,0.19,0.095,0.235,0.25
IVV,0.125,0.26,0.235,0.285,0.095
IWM,0.235,0.165,0.22,0.19,0.19
EWU,0.215,0.16,0.185,0.205,0.235
EWG,0.11,0.285,0.23,0.29,0.085
EWL,0.07,0.305,0.285,0.235,0.105
EWQ,0.13,0.25,0.215,0.29,0.115
IEUS,0.025,0.265,0.445,0.25,0.015
EWJ,0.07,0.27,0.315,0.25,0.095
EWT,0.175,0.225,0.2,0.225,0.175
MCHI,0.235,0.18,0.12,0.185,0.28
INDA,0.13,0.275,0.195,0.25,0.15
EWY,0.195,0.245,0.155,0.195,0.21
EWA,0.135,0.24,0.255,0.27,0.1
EWH,0.13,0.23,0.21,0.305,0.125
EWZ,0.245,0.145,0.13,0.16,0.32
EWC,0.1,0.24,0.265,0.285,0.11
IEMG,0.16,0.205,0.24,0.23,0.165
LQD,0.015,0.24,0.485,0.255,0.005
HYG,0.0,0.195,0.63,0.175,0.0
SHY,0.0,0.015,0.975,0.01,0.0
IEF,0.005,0.235,0.545,0.215,0.0
TLT,0.12,0.285,0.19,0.3,0.105
SEGA.L,0.2,0.205,0.2,0.185,0.21
IEAA.L,0.195,0.215,0.18,0.19,0.22
HIGH.L,0.21,0.19,0.195,0.155,0.25
JPEA.L,0.18,0.25,0.125,0.205,0.24
IAU,0.085,0.265,0.305,0.295,0.05
SLV,0.195,0.195,0.2,0.19,0.22
GSG,0.135,0.26,0.18,0.245,0.18
REET,0.1,0.31,0.235,0.255,0.1
ICLN,0.245,0.22,0.135,0.155,0.245
IXN,0.235,0.165,0.2,0.255,0.145
IGF,0.095,0.24,0.305,0.245,0.115
IUVL.L,0.145,0.22,0.16,0.21,0.265
IUMO.L,0.14,0.21,0.195,0.225,0.23
SPMV.L,0.165,0.235,0.18,0.195,0.225
IEVL.L,0.17,0.225,0.155,0.21,0.24
IEFM.L,0.24,0.18,0.16,0.22,0.2
MVEU.L,0.2,0.185,0.18,0.2,0.235
XLK,0.245,0.2,0.155,0.22,0.18
XLF,0.185,0.205,0.22,0.205,0.185
XLV,0.105,0.265,0.275,0.255,0.1
XLE,0.28,0.12,0.15,0.19,0.26
XLY,0.205,0.21,0.155,0.245,0.185
XLI,0.15,0.225,0.255,0.225,0.145
XLC,0.15,0.22,0.23,0.215,0.185
XLU,0.07,0.29,0.26,0.28,0.1
XLP,0.06,0.285,0.265,0.35,0.04
XLB,0.165,0.25,0.21,0.19,0.185
VXX,0.405,0.045,0.035,0.08,0.435
