,0,1,2,3,4
ABBV,0.2072,0.194,0.1832,0.2018,0.2138
ACN,0.2284,0.1928,0.1654,0.1902,0.2232
AEP,0.1252,0.257,0.2402,0.2482,0.1294
AIZ,0.2034,0.2136,0.1794,0.1954,0.2082
ALLE,0.2354,0.1818,0.169,0.1862,0.2276
AMAT,0.3124,0.1384,0.1028,0.1356,0.3108
AMP,0.2608,0.175,0.1426,0.166,0.2556
AMZN,0.2736,0.169,0.1292,0.1486,0.2796
AVB,0.1742,0.215,0.1956,0.2352,0.18
AVY,0.2506,0.175,0.1444,0.1712,0.2588
AXP,0.2704,0.1654,0.1264,0.1704,0.2674
BDX,0.2286,0.188,0.1538,0.1984,0.2312
BF-B,0.215,0.2042,0.176,0.1852,0.2196
BMY,0.1934,0.2128,0.1874,0.2104,0.196
BR,0.2408,0.1876,0.1508,0.173,0.2478
CARR,0.2544,0.1718,0.142,0.1668,0.265
CDW,0.261,0.1802,0.1334,0.1694,0.256
CE,0.2532,0.174,0.1468,0.1758,0.2502
CHTR,0.276,0.1642,0.1192,0.1688,0.2718
CNC,0.292,0.151,0.117,0.1526,0.2874
CNP,0.1888,0.2116,0.2004,0.219,0.1802
COP,0.2856,0.15,0.1158,0.1474,0.3012
CTAS,0.2292,0.187,0.1556,0.1974,0.2308
CZR,0.344,0.1082,0.0876,0.1162,0.344
DG,0.207,0.2018,0.177,0.2022,0.212
DPZ,0.2432,0.1786,0.1404,0.1888,0.249
DRE,0.2344,0.176,0.1628,0.1888,0.238
DXC,0.3368,0.1308,0.094,0.1154,0.323
FB,0.3058,0.1362,0.1164,0.1452,0.2964
FTV,0.2102,0.207,0.167,0.2076,0.2082
GOOG,0.2654,0.1602,0.1442,0.1704,0.2598
GPC,0.2006,0.2078,0.1816,0.2072,0.2028
HIG,0.2602,0.1738,0.135,0.1668,0.2642
HST,0.2806,0.1676,0.1302,0.1548,0.2668
JPM,0.1962,0.2028,0.1834,0.2136,0.204
KR,0.2514,0.1708,0.1458,0.1734,0.2586
OGN,0.2618,0.177,0.1366,0.1612,0.2634
PG,0.143,0.238,0.2306,0.245,0.1434
PPL,0.1168,0.2622,0.2528,0.249,0.1192
PRU,0.2118,0.209,0.1648,0.201,0.2134
PYPL,0.2188,0.1924,0.177,0.1952,0.2166
RE,0.2124,0.2006,0.1762,0.1936,0.2172
ROL,0.247,0.177,0.1426,0.1814,0.252
ROST,0.2498,0.1754,0.1432,0.178,0.2536
UNH,0.2296,0.1912,0.1648,0.1896,0.2248
URI,0.3044,0.14,0.1072,0.1338,0.3146
V,0.2522,0.1686,0.1444,0.1828,0.252
VRSK,0.2074,0.2028,0.1776,0.2066,0.2056
WRK,0.2842,0.1616,0.1252,0.1636,0.2654
XOM,0.2334,0.1834,0.1522,0.1876,0.2434
IVV,0.112,0.2582,0.264,0.256,0.1098
IWM,0.1998,0.2066,0.1892,0.1992,0.2052
EWU,0.2166,0.1994,0.1666,0.2054,0.212
EWG,0.1148,0.2628,0.2508,0.2624,0.1092
EWL,0.1088,0.2698,0.264,0.2498,0.1076
EWQ,0.151,0.2376,0.2272,0.2422,0.142
IEUS,0.026,0.2794,0.4034,0.265,0.0262
EWJ,0.102,0.266,0.27,0.262,0.1
EWT,0.1568,0.2338,0.2196,0.245,0.1448
MCHI,0.2608,0.1718,0.1432,0.172,0.2522
INDA,0.1596,0.2374,0.2168,0.2284,0.1578
EWY,0.219,0.2028,0.1664,0.1968,0.215
EWA,0.1338,0.2436,0.2454,0.2492,0.128
EWH,0.1196,0.2508,0.2554,0.2536,0.1206
EWZ,0.28,0.1616,0.1266,0.1624,0.2694
EWC,0.1322,0.2386,0.2472,0.2558,0.1262
IEMG,0.1494,0.2464,0.2272,0.2344,0.1426
LQD,0.007,0.2328,0.501,0.252,0.0072
HYG,0.0002,0.1878,0.597,0.2144,0.0006
SHY,0.0,0.0072,0.9834,0.0094,0.0
IEF,0.002,0.2146,0.5578,0.2224,0.0032
TLT,0.105,0.2628,0.2556,0.2574,0.1192
SEGA.L,0.2126,0.1896,0.1748,0.2002,0.2228
IEAA.L,0.2122,0.2,0.1716,0.196,0.2202
HIGH.L,0.2136,0.2022,0.1764,0.1962,0.2116
JPEA.L,0.2204,0.1932,0.1686,0.1946,0.2232
IAU,0.0634,0.2654,0.3322,0.2782,0.0608
SLV,0.1872,0.2184,0.1898,0.206,0.1986
GSG,0.1694,0.2264,0.2102,0.225,0.169
REET,0.1132,0.2558,0.2534,0.2644,0.1132
ICLN,0.2512,0.1826,0.1424,0.1698,0.254
IXN,0.2028,0.2082,0.1732,0.2158,0.2
IGF,0.0982,0.25,0.2988,0.2618,0.0912
IUVL.L,0.221,0.1914,0.1806,0.194,0.213
IUMO.L,0.2178,0.2062,0.1602,0.1948,0.221
SPMV.L,0.225,0.1994,0.161,0.1974,0.2172
IEVL.L,0.2124,0.198,0.1778,0.2038,0.208
IEFM.L,0.2138,0.2016,0.1544,0.2076,0.2226
MVEU.L,0.2236,0.1972,0.1624,0.1958,0.221
XLK,0.2144,0.2016,0.1658,0.2014,0.2168
XLF,0.1732,0.2236,0.207,0.2228,0.1734
XLV,0.1088,0.2688,0.2542,0.25,0.1182
XLE,0.2506,0.1736,0.132,0.1926,0.2512
XLY,0.217,0.2024,0.1714,0.1942,0.215
XLI,0.1374,0.243,0.229,0.2558,0.1348
XLC,0.1686,0.2292,0.2008,0.233,0.1684
XLU,0.1128,0.2612,0.2526,0.2576,0.1158
XLP,0.0736,0.2756,0.309,0.2656,0.0762
XLB,0.1478,0.2416,0.2294,0.2344,0.1468
VXX,0.4136,0.0618,0.0462,0.0642,0.4142
